#  scale_factor   cSFR (HACC)
   8.423881e-01  5.314339e-02
   8.439801e-01  5.291968e-02
   8.455721e-01  5.266107e-02
   8.471642e-01  5.241137e-02
   8.487562e-01  5.212938e-02
   8.503483e-01  5.196538e-02
   8.519403e-01  5.180262e-02
   8.535323e-01  5.147300e-02
   8.551244e-01  5.112948e-02
   8.567164e-01  5.081327e-02
   8.583085e-01  5.056179e-02
   8.599005e-01  5.033510e-02
   8.614925e-01  5.010686e-02
   8.630846e-01  4.996363e-02
   8.646766e-01  4.978263e-02
   8.662687e-01  4.958752e-02
   8.678607e-01  4.939910e-02
   8.694527e-01  4.919631e-02
   8.710448e-01  4.891528e-02
   8.726368e-01  4.863685e-02
   8.742289e-01  4.835837e-02
   8.758209e-01  4.811037e-02
   8.774129e-01  4.788164e-02
   8.790050e-01  4.762416e-02
   8.805970e-01  4.737324e-02
   8.821891e-01  4.714909e-02
   8.837811e-01  4.695118e-02
   8.853731e-01  4.680929e-02
   8.869652e-01  4.655748e-02
   8.885572e-01  4.635252e-02
   8.901493e-01  4.612104e-02
   8.917413e-01  4.587241e-02
   8.933333e-01  4.565486e-02
   8.949254e-01  4.545107e-02
   8.965174e-01  4.518862e-02
   8.981094e-01  4.500817e-02
   8.997015e-01  4.480530e-02
   9.012935e-01  4.456660e-02
   9.028856e-01  4.434345e-02
   9.044776e-01  4.414582e-02
   9.060696e-01  4.397115e-02
   9.076617e-01  4.386935e-02
   9.092537e-01  4.369081e-02
   9.108458e-01  4.337318e-02
   9.124378e-01  4.316729e-02
   9.140299e-01  4.295998e-02
   9.156219e-01  4.277350e-02
   9.172139e-01  4.258592e-02
   9.188060e-01  4.238030e-02
   9.203980e-01  4.221842e-02
   9.219901e-01  4.205877e-02
   9.235821e-01  4.185216e-02
   9.251741e-01  4.167752e-02
   9.267662e-01  4.147533e-02
   9.283582e-01  4.121397e-02
   9.299502e-01  4.102054e-02
   9.315423e-01  4.082257e-02
   9.331343e-01  4.061911e-02
   9.347264e-01  4.044299e-02
   9.363184e-01  4.016644e-02
   9.379104e-01  4.002419e-02
   9.395025e-01  3.985647e-02
   9.410945e-01  3.965490e-02
   9.426866e-01  3.954011e-02
   9.442786e-01  3.938552e-02
   9.458707e-01  3.920366e-02
   9.474627e-01  3.901722e-02
   9.490547e-01  3.887031e-02
   9.506468e-01  3.867581e-02
   9.522388e-01  3.844587e-02
   9.538309e-01  3.821185e-02
   9.554229e-01  3.804886e-02
   9.570149e-01  3.788029e-02
   9.586070e-01  3.771030e-02
   9.601990e-01  3.757388e-02
   9.617910e-01  3.747178e-02
   9.633831e-01  3.734293e-02
   9.649751e-01  3.714668e-02
   9.665672e-01  3.696268e-02
   9.681592e-01  3.679704e-02
   9.697512e-01  3.662677e-02
   9.713433e-01  3.643072e-02
   9.729353e-01  3.625035e-02
   9.745274e-01  3.610610e-02
   9.761194e-01  3.597181e-02
   9.777114e-01  3.584176e-02
   9.793035e-01  3.571503e-02
   9.808955e-01  3.550850e-02
   9.824876e-01  3.527985e-02
   9.840796e-01  3.514630e-02
   9.856716e-01  3.504504e-02
   9.872637e-01  3.487552e-02
   9.888557e-01  3.469687e-02
   9.904478e-01  3.455313e-02
   9.920398e-01  3.441014e-02
   9.936318e-01  3.425600e-02
   9.952239e-01  3.407347e-02
   9.968159e-01  3.386735e-02
   9.984080e-01  3.366327e-02
   1.000000e+00  3.350855e-02
